Address,Modbus Address
X001,100001
X002,100002
X003,100003
X004,100004
X005,100005
X006,100006
X007,100007
X008,100008
X009,100009
X010,100010
X011,100011
X012,100012
X013,100013
X014,100014
X015,100015
X016,100016
X021,100017
X022,100018
X023,100019
X024,100020
X025,100021
X026,100022
X027,100023
X028,100024
X029,100025
X030,100026
X031,100027
X032,100028
X033,100029
X034,100030
X035,100031
X036,100032
X101,100033
X102,100034
X103,100035
X104,100036
X105,100037
X106,100038
X107,100039
X108,100040
X109,100041
X110,100042
X111,100043
X112,100044
X113,100045
X114,100046
X115,100047
X116,100048
X201,100065
X202,100066
X203,100067
X204,100068
X205,100069
X206,100070
X207,100071
X208,100072
X209,100073
X210,100074
X211,100075
X212,100076
X213,100077
X214,100078
X215,100079
X216,100080
X301,100097
X302,100098
X303,100099
X304,100100
X305,100101
X306,100102
X307,100103
X308,100104
X309,100105
X310,100106
X311,100107
X312,100108
X313,100109
X314,100110
X315,100111
X316,100112
X401,100129
X402,100130
X403,100131
X404,100132
X405,100133
X406,100134
X407,100135
X408,100136
X409,100137
X410,100138
X411,100139
X412,100140
X413,100141
X414,100142
X415,100143
X416,100144
X501,100161
X502,100162
X503,100163
X504,100164
X505,100165
X506,100166
X507,100167
X508,100168
X509,100169
X510,100170
X511,100171
X512,100172
X513,100173
X514,100174
X515,100175
X516,100176
X601,100193
X602,100194
X603,100195
X604,100196
X605,100197
X606,100198
X607,100199
X608,100200
X609,100201
X610,100202
X611,100203
X612,100204
X613,100205
X614,100206
X615,100207
X616,100208
X701,100225
X702,100226
X703,100227
X704,100228
X705,100229
X706,100230
X707,100231
X708,100232
X709,100233
X710,100234
X711,100235
X712,100236
X713,100237
X714,100238
X715,100239
X716,100240
X801,100257
X802,100258
X803,100259
X804,100260
X805,100261
X806,100262
X807,100263
X808,100264
X809,100265
X810,100266
X811,100267
X812,100268
X813,100269
X814,100270
X815,100271
X816,100272
Y001,8193
Y002,8194
Y003,8195
Y004,8196
Y005,8197
Y006,8198
Y007,8199
Y008,8200
Y009,8201
Y010,8202
Y011,8203
Y012,8204
Y013,8205
Y014,8206
Y015,8207
Y016,8208
Y021,8209
Y022,8210
Y023,8211
Y024,8212
Y025,8213
Y026,8214
Y027,8215
Y028,8216
Y029,8217
Y030,8218
Y031,8219
Y032,8220
Y033,8221
Y034,8222
Y035,8223
Y036,8224
Y101,8225
Y102,8226
Y103,8227
Y104,8228
Y105,8229
Y106,8230
Y107,8231
Y108,8232
Y109,8233
Y110,8234
Y111,8235
Y112,8236
Y113,8237
Y114,8238
Y115,8239
Y116,8240
Y201,8257
Y202,8258
Y203,8259
Y204,8260
Y205,8261
Y206,8262
Y207,8263
Y208,8264
Y209,8265
Y210,8266
Y211,8267
Y212,8268
Y213,8269
Y214,8270
Y215,8271
Y216,8272
Y301,8289
Y302,8290
Y303,8291
Y304,8292
Y305,8293
Y306,8294
Y307,8295
Y308,8296
Y309,8297
Y310,8298
Y311,8299
Y312,8300
Y313,8301
Y314,8302
Y315,8303
Y316,8304
Y401,8321
Y402,8322
Y403,8323
Y404,8324
Y405,8325
Y406,8326
Y407,8327
Y408,8328
Y409,8329
Y410,8330
Y411,8331
Y412,8332
Y413,8333
Y414,8334
Y415,8335
Y416,8336
Y501,8353
Y502,8354
Y503,8355
Y504,8356
Y505,8357
Y506,8358
Y507,8359
Y508,8360
Y509,8361
Y510,8362
Y511,8363
Y512,8364
Y513,8365
Y514,8366
Y515,8367
Y516,8368
Y601,8385
Y602,8386
Y603,8387
